STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,01-05-2005,,,0.19,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,02-05-2005,,,0.02,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,03-05-2005,,,0.23,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,04-05-2005,,,0.07,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,05-05-2005,,,0.01,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,06-05-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,07-05-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,08-05-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,09-05-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,10-05-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,11-05-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,12-05-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,13-05-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,14-05-2005,,,0.02,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,15-05-2005,,,0.3,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,16-05-2005,,,0.04,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,17-05-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,18-05-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,19-05-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,20-05-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,21-05-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,22-05-2005,,,0.07,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,23-05-2005,,,0.27,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,24-05-2005,,,0.18,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,25-05-2005,,,0.07,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,26-05-2005,,,0.05,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,27-05-2005,,,0.09,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,28-05-2005,,,0.3,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,29-05-2005,,,0.41,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,30-05-2005,,,0.08,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,31-05-2005,,,0.04,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,01-06-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,02-06-2005,,,0.02,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,03-06-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,04-06-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,05-06-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,06-06-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,07-06-2005,,,0.19,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,08-06-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,09-06-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,10-06-2005,,,0.32,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,11-06-2005,,,0.04,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,12-06-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,13-06-2005,,,0.5,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,14-06-2005,,,0.16,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,15-06-2005,,,0,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,16-06-2005,,,0.09,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,17-06-2005,,,0.75,",,N",,,,,,,,,,,,,,
US1NYDL0006,"DELHI 5.0 ESE, NY US",42.26085,-74.8195,534,18-06-2005,,,0.43,",,N",,,,,,,,,,,,,,
